id,text,class,volunteers_count,judgment_confidence
1522,i just feel like being selfish and really live my life,3,3.0,0.8174046825184563
16915,i feel shamed mentioning the fact that i owned a nokia,0,3.0,0.6241852867248123
4849,i do feel resentful towards other bloggers writing for and against i don t even qualify to feel offence since delhi girls are obviously punjabi,3,5.0,0.8088928570376277
7700,i feel like i have been beaten up and looking back on my week i can see why,0,3.0,1.0
16190,"RT @49ers: Oregon State WR @brandincooks is a popular #49ers pick in recent mock drafts. 

DRAFT TRACKER: http://t.co/AEueKmhkQX http://t.c&#8230;",2,3.0,1.0
1078,i just didn t end feeling satisfied,1,3.0,0.9996884572047001
10168,i am not monitoring what i have to say about anything if you ever come across any of my blogs and feel offended please dont stop by here again,3,4.0,0.8666313133620015
8076,You could be viewing the future through rose-colored glasses t... More for Libra http://t.co/UOoN09K1Dq,2,3.0,1.0
2175,i feel which is glamorous and my little lacy bottoms have a tiny g string underneath,1,4.0,1.0
10538,i feel like i am really grouchy and some days i get in moods where i feel like it is me against the world,3,3.0,0.9350038839166409
624,i were dating myself right now i d be telling my girlfriends that i feel ignored unloved under appreciated and like i m not a priority,0,3.0,0.8362736048051893
11598,i put it aside feeling a little defeated,0,4.0,0.7908508754700546
3222,RT @SpacePlankton: Saw a man in a yellow hat at the Grand Canyon today. He was hanging out next to a curious gorge.,2,3.0,1.0
16327,i also feel paranoid that everyone is listening to my phone conversations whats that all about,4,2.0,0.97719718560515
3698,i am feeling brave and lucky kind of like my heart is breaking and im falling in love all at the same time,1,2.0,0.6791244201542803
18075,i think that it is the one site that has truly made me hella smile and feel reassured that there are morally good and kind individuals in this world,1,4.0,0.8636539871406448
14603,i will close my eyes and recite the following mantra every day and whenever i m feeling unsure frustrated or shiftless with my progress towards my top body,4,5.0,0.7807372847680609
17184,Me gusta pollo so espa&#241;ol that. Lol. &#127831;,2,3.0,1.0
7879,RT @MichaelArenella: Shy girls are cute,2,3.0,1.0
257,i feel we would be a far better species,1,3.0,0.7693749087103608
5642,i love loving people and when i get the opportunity to really show how i feel i m going to do it no matter how stupid it sounds,0,3.0,0.983092535297998
147,i feel pressured to talk to them,4,3.0,0.8510896609110601
3704,i feel angry man named muaz,3,3.0,0.8589802687295037
15098,im feeling pretty morose for reasons that i dont need to go into beyond having been plagued by this same,0,3.0,0.7384248728396616
18374,im not much of a people watcher or a voyeur so i feel kinda weird when walking around taking street shots,4,4.0,0.7506888053215031
15051,i feel like i shouldn t be that amazed with a degree in biology i was blown away,5,3.0,0.8949237461302623
425,Charlie bit me,2,3.0,1.0
18276,i am so connected with families that are not my own and i love them so much and so i feel blessed to find a family to be connected with on so many different levels,1,4.0,0.9588020543042906
15025,i feel that many not all but many of the partners i work with are really talented,1,3.0,0.8903762882815162
8473,i believe in you moment we all feel til then it s one more skeptical song,4,4.0,0.7419067243909888
12335,i wonder if am i alone in the fact that i am able to identify my destructive behaviors yet feel doomed to repeat them,0,4.0,1.0
11930,i would save it for the next time im feeling cranky or irritable then spray some lightly behind my ears,3,2.0,0.8071970258446951
12408,i feel too much but i don t care no i don t careeeeee i don t care by savage garden your three plans for tomorrow,3,4.0,1.0
11544,RT @ItsFoodPorn: Oreo Ice Cream Cake http://t.co/Qpde1L6zAi,2,3.0,1.0
14510,i feel so honored to have lindo guest starring on this post,1,3.0,1.0
11276,"@karmendanielle_ aka he wanna keep you warm, shoulda just introduced himself #coons",2,3.0,0.6666666666666666
15545,i feel privileged to call them my cousins,1,3.0,0.9140505682860103
9320,i remembered that i gave my day to the holy spirit and filled with his grace how could i feel disturbed with this situation,0,3.0,0.9491352638850789
3826,i began to shoot every person i made feel perfect,1,5.0,1.0
16519,when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,0,3.0,0.8331150634062041
6291,i was still feeling the effects of marathon sex julie looked amazing,1,3.0,0.8325884135073425
17468,i have a hard time putting into words how good it feels to spend an hour serving as a friendly face to people who are oftentimes unable to leave home without the help of others,1,4.0,0.6782866242523675
12860,im feeling in my heart to make my list of things that i am thankful for,1,2.0,0.9268045201933065
12269,i make myself show up and feel isolated in the crowd ill know i was wrong about the anti social feeling,0,4.0,0.7372575056429809
9299,i feel so strongly and passionate about so hearing that just made my heart sink,1,5.0,1.0
8037,i understand that you re feeling anxious,4,1.0,1.0
1739,i feel woefully inadequate lost and fearful he will do whatever needs to be done,0,3.0,0.9811349072729637
8596,i feel so annoyed,3,2.0,1.0
12056,i once told my friends that i feel like doing some sort of backpacking but instead of supporting me with this idea all i got from them were raised eye brows and some sarcastic remarks,1,2.0,1.0
10812,i always feel reassured after my appts,1,3.0,0.9315273759452823
14359,"@desamador you gotta be like me n the twins, just chug it all before everyone",2,3.0,1.0
2447,i struggled with feelings of anger hurt and sadness yet i still felt hopeful,0,4.0,1.0
1887,i feel kinda popular,1,2.0,0.9013942903314953
6119,i was wrong to feel overly optimistic about the crossfit workout,1,2.0,0.7335985512089954
3588,i wonder if feeling complacent is a result of my laziness,1,4.0,0.9690148477968119
11820,i feel like ending my life like some song from damaged or something,0,3.0,1.0
16545,i feel paranoid but atleast now i get some comfort with dd she is the only person that i can talk to and not feel lie total crap around she is the nicest kindest most caring person i have ever met and i dont think that i will ever find anyone as great as her in my life,4,4.0,0.860771591765703
7719,i feel like an emotional train wreck,0,4.0,0.9027778206998336
14905,i feel like i can breath now and not be so rushed,3,3.0,0.76565866263801
6517,i don t believe these feelings can be blamed solely on the lack of empathy towards family life by government policy makers and employers which the analysis on this survey would seem to suggest,0,4.0,0.7391806709673827
15544,i mean my feelings are always sincere i just think part of me tends to repress certain things in order to somehow lessen the blow that will eventually hit when the relationship ends,1,4.0,0.9273992866615838
5568,@charliesheen Charlie PLEASE STOP. from 1 ole fart 2 another...,2,3.0,1.0
13881,i feel the need to have one day a week for those polishes im not super jacked about,1,4.0,0.915544424663336
905,Eating brownies and then going to the gym... Idk,2,6.0,1.0
12653,"RT @SportsCenter: Derek Jeter gets it done! J.J. Hardy commits error on slow grounder, and 2 runs score. Yankees take 4-2 lead in 7th innin&#8230;",2,3.0,1.0
4073,im sat at work feeling pressure in my ears blowing my nose and just feeling miserable,0,4.0,0.8706644723785026
1967,i feel strange and weird about this entire struggle am i the only one who deals with this kind of conflict,4,2.0,0.7428132956332728
16860,Beans that were yellow before Friday night are brown now-a few green leaves curled-frost but not freeze-bean size reduced - top end shrinks,2,3.0,1.0
1393,i feel consistently dissatisfied disengaged disinterested and without any zest for what i m doing in my life i eat,3,2.0,1.0
3617,i don t know if they just wanted to lead a race or they were feeling so well so early or what it was,1,5.0,0.7899624647750246
3798,@BillPeriman Or as I like to put it 'looking through race colored glasses' @Kel_Antoinette8,2,3.0,1.0
6066,i must bring some perspective into the equation consider how you would feel if you went a week without calling and then phoned up to find out youd missed your final opportunity to talk with a parent,0,2.0,0.8311690462205179
18528,i was feeling regretful that i made contact with someone with whom i need to keep distance,0,4.0,0.8850414791416762
15191,i am also feeling his prompting to offer my comments about what exactly is going on in our very troubled world and what he has lead me to do regarding these times we are finding ourselves in,0,3.0,0.8497179601366499
2254,i feel agitated and jumpy and like i just ate a bottle of caffeine pills,4,3.0,1.0
12741,janet Jackson's nip slip #iconic,2,3.0,0.6666666666666666
10227,Dumpster RT @baskgod: Gahbage RT @_sirhampton_: Chicks that smoke are trash. No in between. No debate.,2,3.0,0.6666666666666666
3102,i included my feelings but no violent acts were committed against her,3,3.0,0.8852556105558713
6489,i know i am feeling discouraged and cynical,0,3.0,0.6758168960071194
16591,i even feel valuable as a person,1,4.0,1.0
3479,i feel the cool in their wings as they brush my face and walk across my outstretched hand,1,4.0,0.6058427383254144
911,i feel relaxed energized and im breathing more fully without extra effort,1,3.0,0.7516541518269049
8781,RT @bansky: LeBron doesn't turn 30 til december. he made 5 trips faster than kobe shaq mike or bird. he'll be back yal act like hes retirin&#8230;,2,3.0,1.0
7527,i know and i am eternally torned about it because i feel helpless and useless,0,3.0,0.9676499779753192
1714,@JStarrTweets my pops is from New York. My family is Yankee obsessed. My sister literally cried when she heard he was gonna,2,3.0,1.0
10804,im feeling low and forgotten,0,3.0,1.0
8158,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",2,3.0,1.0
15505,i feel kind of sorry for her,0,2.0,0.7274249336544412
7884,when it became clear that a man had used many people sexually and psychologically,3,4.0,1.0
3522,i understand and appreciate the concern for safety i feel that the real focus of the market the vendors has been ignored,0,4.0,0.969825442107524
6956,i think you said beautiful things to them and i think you meant them you loved being with them i think you made them feel terrific,1,4.0,1.0
12711,@TOBINSUPREME so trash,2,3.0,0.6666666666666666
9723,i might be afraid to leave the house to nurse in public to commit to a social engagement or to wear anything that makes me look worse than i already feel so in honor of fearless friday i invite our newbie mom readers to do something that scares them,1,3.0,1.0
12428,im sure that each person has their own complex set of reasons for leaving and chalking it up to one reason or feeling like because they all hated academia is probably a little too simple,3,4.0,1.0
5665,i dont know what i feel let me recount my emotional spectra all throughout those minutes of gfb finale,0,4.0,0.9821024600068008
2950,RT @TomBradysEgo: Might have a better chance if we put some trash cans out there.,2,3.0,0.6666666666666666
6253,i feel curious to know more i think the procedure worked well,5,3.0,0.8497973328115114
12157,"&#8220;@TWOLVEGIRL: I find myself wanting to google ""the yellow king"" #TrueDetective&#8221; No kidding! What is going on?",2,3.0,1.0
16147,Money hungry hoes they can never get a crumb,2,3.0,0.6666666666666666
4850,i feel more adventurous willing to take risks,1,3.0,0.7493914539594544
13044,im feeling stressed or out of control i regain control by breaking down my particular stressors into minutes segments to devote attention to and then go to it,0,3.0,0.9264059440870369
17565,i feel worthless when hes not there to pick me up at the airport,0,4.0,0.9388437169840308
18526,u ho@RealWizKhalifa u hot i really like the way u keep te flow natural,2,3.0,1.0
14014,i really wanna see her soon but i feel really needy for asking her if i can see her,0,3.0,0.7533881352665412
4193,ive listened enough to all you people and i just go back to my old ways by taking your advice then in the end i just feel discontent with myself because i cant change my ways that i give up before its over,0,3.0,0.8957515910424877
17276,i still get my days were i seem to get more kicks than others but i feel so reassured that everything is ok when i do feel them,1,4.0,0.8133892153479085
3107,i do not feel frantic,4,3.0,0.6781599666861156
2006,im feeling kind of lonely right now even though i just talked to jack sarah and a lot of my other friends,0,3.0,0.6526412299425752
1288,i feel super antisocial,1,3.0,0.9481425667791643
7576,i get bored i get scared i feel ignored i feel happy i get silly i choke on my own words i make wishes i have dreams and i still want to believe anything can happen in this world for an ordinary girl a class profile link href http www,0,3.0,1.0
14762,im feeling rather hostile over the whole hostel situation,3,3.0,1.0
7348,i feel if journalists then blamed me,0,4.0,1.0
8059,@caycifish What is that monkey doing to those poor bottles?,2,3.0,1.0
17381,i fall off when my uncle hits so i cant imagine what it must feel like to go mph other than cool and possibly painful,1,2.0,0.6716297278499884
6088,i feel like people dont really want me in their company but also they dont want to hurt my feelings,0,3.0,0.8059614735171151
1693,i feel like a dangerous animal as i prowl out of the jungle and onto the warm sand of this deserted island,3,3.0,0.9742166612653599
8402,RT @MarcACaputo: BREAKING: Charlie Crist files emergency motion for a mulligan.,2,3.0,1.0
14585,i was feeling pretty grumpy at this point but for whatever reason seeing this flower made me very happy,3,3.0,1.0
18078,i have had since july st i am feeling shaken knowing i will be homeless in two months and as close to a home that i have is gone,4,3.0,0.8711159874965737
13215,i just remember feeling frantic desperately trying to say what i needed to say to q,4,4.0,0.8852501524902767
5610,i feel like i should go to the supermarket and buy something totally delicious for dinner with the money my mother put in my account today,1,2.0,0.7853291715242001
15414,RT @BriannDominguez: Green and yellow -lil Wayne &#128155;&#128154;&#128175;&#128175;&#128175;&#128175;,2,6.0,1.0
6660,"What an amazing, proud day it was today for @NKOTB and #blockheads! Time for bed! Good knight!",2,3.0,1.0
10097,i have been starting to feel drained,0,2.0,0.740493691339642
3289,i don t know i ve not tried a new character yet the universe feels much more lively than it did when i began so i m hoping that s true for new characters as well,1,3.0,0.9840039142780608
11325,i feel respected and i feel like i am worth something,1,2.0,0.9874999755688681
8845,Rescue elephant calf &#8216;Nunai&#8217; looking fuzzy at the International Fund for Animal Welfare Rehabilitati http://t.co/PAetLXGuoa,2,3.0,1.0
2499,i watched him run by i couldnt help but feel envious,3,2.0,1.0
11785,i should probably mention so that you aren t feeling left out that the lunch was in celebration of the top participants of the take the lead speech competition another reason to enter the competition the food was delicious and the conversation was amusing,1,3.0,1.0
218,i feel awful and have had chills on and off day and night,0,3.0,0.5604065706235168
14341,Seeing another baseball team just makes me wanna book my @Yankees trip right now.,2,3.0,1.0
17158,i was feeling restless when i stepped into the kitchen to whip up this crunchy sweet treat,4,4.0,1.0
9192,i was telling her about how i was feeling a bit homesick,0,2.0,0.6037264528818577
17593,i feel like the hymn says i stand all amazed at the love jesus offers me confused at the grace that so fully he proffers me,5,4.0,1.0
14044,"""@rugbysocklad: Fit lads! Nice gear! http://t.co/ThnXX1lC1M"" these scally lads n trainers would get it",2,3.0,1.0
7014,i feel like a horrible person a href http bryangregorylewis,0,3.0,1.0
18519,i feel like there are people out there on the internet that have issues with my online friends and then expect me to be hateful or mean to them as well,3,4.0,0.8357847447853057
2574,@zhandlen I love WHITE NOISE and love Delillo. I&#8217;ve resisted reading HOUSE OF LEAVES for years. It mocks me on my shelf.,2,3.0,1.0
13889,i know there are days in which you feel distracted,3,3.0,0.72612839313111
10590,my girlfriend sent me a letter with a shiny picture in it,1,4.0,1.0
6399,i ended up with a perfect studio and now when i walk into it i feel aggravated yes it is bizarre,3,4.0,0.8164284469032237
6619,i feel it when i get hurt on little things,0,4.0,1.0
17623,i get another call from a frantic junior for my file and i obviously refused ta help her and now im feeling like i was too rude i mean i jz went like yeah sorry i just dont do that,3,4.0,0.8634602268594793
14902,i was feeling some irritation and anger feeling being insulted,3,4.0,0.6448080132526377
2512,i spontaneously come up with a new tune or when i am taking a solo and feel myself in that creative flow just going for it not knowing what i am going to play next and surprising myself he answers indisputably,1,4.0,0.8182390821381933
5514,i feel as confused about life as a teenager or as jaded as a year old man,4,2.0,1.0
8000,i managed to put a stop to all the things i had been doing that left me feeling regretful and miserable everyday,0,4.0,0.8625731088967328
12461,i know is what you do when someone gets engaged made him feel like they were supporting her marrying someone who doesnt always treat her well,1,3.0,0.8814675043805982
2081,im feeling really bitchy so just stop reading if you dont want to hear my sob story,3,3.0,0.9072698075494459
15028,i feel like special honored guests,1,3.0,0.7471873252531507
1959,i do at times feel complacent with my life as is,1,3.0,1.0
6178,RT @TEL1967: Darn trash man he beat me to the good stuff again. http://t.co/vdDJQ4l0mg,2,3.0,0.6666666666666666
17375,i need to be for myself and the things i feel it is important for my children to know,1,3.0,1.0
13294,i also find that during those times when i feel victimized by his loss i dont feel him near me at all,0,3.0,0.5463233873105383
5566,Burnating all Yankees and their thatch roof cottages!!!!!! #Astros http://t.co/j3dZiwBDt0,2,3.0,0.6666666666666666
11203,i feel it is unfortunate that in the end my year old will hate her father unless he ceases to use his daughter as a pawn to impress these women while she s still young enough to not realize what is really going on,0,4.0,0.7870295060114597
8239,i feel my strengths are that i m very determined motivated in the workout room,1,3.0,0.7475732542717185
5186,i feel lonely a class post count link href http sporkgasm,0,3.0,0.9017825932333647
6688,i also feel it is worth mentioning that makin it rain may be acceptable at a strip club but not at your local cineplex,1,3.0,0.8774370978502424
6602,Thinking bout those oysters at the gator bait tho&#128533;,2,3.0,1.0
9975,"Everybody loves pot brownies, but I bring crystal meth cupcakes to a party, Suddenly I'm the weirdo",2,3.0,1.0
15834,i feeling so shitty today then,0,4.0,0.9489165694025232
5764,i was feeling relatively indecisive and not very hungry until we walked past a barbeque place,4,3.0,1.0
4046,"Study by Center for Biological Diversity called (taxpayer funded) Ivanpah a &#8220;mega-trap&#8221;-will kill 28,000 birds year. http://t.co/xPXEhne29E",2,3.0,1.0
17323,i find that in times where i feel i am not being respected or i am not getting the point across of how something may make me feel uncomfortable that being nice only seems to encourage these things to keep happening,1,4.0,0.9847471150775771
15012,i must ask if my column makes you feel so hateful why do you keep logging on,3,3.0,0.8880536508814251
13071,now I have to clean up a dead bird and pieces of glass,2,3.0,0.6666666666666666
16873,i often feel so distressed and freaked out whenever my child gets sick,4,5.0,0.9114140283776324
10329,hearing about developments of sience in the west a lot better than china,0,3.0,0.8990605434743715
2724,i feel myself afraid of being abandoned,4,4.0,0.7892022833705996
2923,&#8220;@JuanNdaCut: When twitter rappers dm me their trash links http://t.co/o5Orzo1O19&#8221;,2,3.0,1.0
18630,i may feel that i am not precious to others,1,4.0,1.0
1064,RT @ahmadblack35: Can someone find the Georgia fan who talked trash to me and told me he hope we don't end up like Tennessee? Tell him I'm &#8230;,2,3.0,1.0
4843,i feel like i missed that ship when it sailed,0,3.0,0.9893807908533182
11832,i am working on one thing that i feel unsure of completing,4,3.0,0.8959636495801483
18755,ive been feeling really spiteful lately so i think ill just sit here and listen to rammstein,3,4.0,0.935091466316355
3920,i feel very confused and cant stop myself from digging in a bit more,4,3.0,0.9832705206235501
18625,"before and after I started playing flappy bird ...
before: &#128522;&#127800;&#128077;&#9728;&#65039;
after: &#128545;&#128299;&#128165;&#128163;&#128293;&#128659;&#128658;",2,3.0,1.0
8727,i would not accept his love fully feeling of being damaged,0,2.0,0.6481648579598198
18353,i might be able to recreate the feeling when i get back into the cold fog that awaits me tomorrow night,3,3.0,0.903268559761406
9657,"RT @hiteshrangra: Sonia never criticises @ArvindKejriwal . Kejriwal, who trashes every other leader, never criticises Sonia. Touching. #YoK&#8230;",2,3.0,0.6666666666666666
6632,i feel that he is ungrateful for having an opportunity to breathe the air when so many others didn t have the chances he has had,0,3.0,0.9980125700179951
4667,i feel agitated,3,4.0,0.8953523355471843
1771,i feel lousy about how much i have to study,0,3.0,0.8099647971362534
9404,i think everyone should make a goal that they feel as passionate about,1,3.0,0.9321632597744282
7401,i am sure the vast majority of decent working class people feel insulted about being derided as unable to be respectful towards referees and are the parents who watch their child s match shouting abuse and swearing etc,3,3.0,0.9777233384567706
12634,at one of my close friends saying she didnt like the way i am nice to people i dont know,3,2.0,0.8577259865195203
14544,i desire something i am more likely to feel appreciative of it than if i feel entitled to it,1,3.0,1.0
9933,i feel a pang every time i read an amazing canadian literary magazine for instance that id love to submit to only to see im on the do not enter list,1,3.0,1.0
6451,i feel like as much as it was an unfortunate situation that i wasnt with my father i was in a great place,0,5.0,1.0
16080,WATCH: Excited ISIS Jihadis Getting Their Yezidi Sex Slaves On 'Distribution Day' http://t.co/n9ExnuVhKs #ISIS #tcot #pjnet #lnyhbt #gop,2,3.0,1.0
12416,i cannot in good conscience encourage my young kids read stuff from someone i feel is so vile no matter how good it is,3,4.0,0.9152984473852114
14577,i am feeling a little irritated with some close friends and yes i feel like i have an ongoing hangover but those arent reasons for my bad mood,3,3.0,0.9020405807762117
12837,i feel like we had a wonderful summer and know now that school has started the year will fly by,1,1.0,1.0
18056,i wasn t motivated i was tired and my guilt was making me feel worthless,0,3.0,0.7129599533273079
3366,i act as head of family when he is far too young for this and making sasuke feel that he has to support her instead of her supporting him which by right should be her duty because she is the mother and he is the child and he is fatally ill and not she,1,2.0,0.8473266358404921
15632,i feel that with all the talented players that we currently have especially with most of them being rested for the next game and the experience that our players bring to the game we have the ability to go further than we ever have,1,4.0,0.9057177862288758
10249,i didnt feel like i was respected,1,3.0,1.0
17056,i can understand that you may feel youd rather not do your bit for the vulnerable and homeless in london in that precise way,4,3.0,0.7627600387619666
18690,&#8220;@AustinMahone: just got a new fish it's albino and I named him shaquita #yee&#8221; bahaha,2,3.0,1.0
3844,i feel selfish on the days i dont feel well and want to be left alone in my misery,3,2.0,0.9167500473784729
16877,i didnt use to feel embarrassed walking by people in it at the pool,0,3.0,0.7930637951352564
2638,i want to feel amazed a little more often,5,4.0,0.6098369689136999
4602,i didn t see how my going in the army and maybe going to vietnam would achieve anything except a feeling that i had punished myself and gotten what i deserved,0,2.0,0.7803738379915521
1153,i could sense that he was uncomfortable when he came to deliver the letter but i was willing to attribute to him feeling weird about being so romantic and vulnerable,4,3.0,0.9146428400854859
4800,i don t like to feel embarrassed when my kids watch it,0,4.0,0.7414488868928097
9693,RT @sluggernation: The P72 Derek Jeter used to hit the walk-off single in his final @Yankee Stadium at-bat. (Images via @mlb_authentic) htt&#8230;,2,3.0,1.0
2299,Kill la kill was trash,2,3.0,0.6666666666666666
13741,i keep going back to people are douche canoes because they need to feel superior they need that ego boost they need someone to look down upon,1,2.0,0.9344120427413678
12326,i think i am starting to feel jealous,3,3.0,0.87007162385008
18113,im excited and i want her to be proud to be homeschooled and not feel ashamed,0,4.0,1.0
18277,i feel listless most of the time nowadays,0,4.0,0.46520012311549214
11333,i feel is probably the most acceptable strategy to finding out historical past it does not imply by any means that it is the only method to study historical past we must always have this subject clear,1,4.0,0.7561748302443787
17563,i thought he was going to say no but he just put on what i call his smacked puppy face and that always makes me feel rotten,0,3.0,1.0
150,i have a feeling that the smell is not going to be pleasant,1,3.0,0.7650596983084623
18478,i wanted but knowing nothing about it i stepped into the candyland of make up looking haggard and left feeling radiant with a bag full of products of course,1,3.0,0.8449813497522821
10735,i won a car in a prizecompetition the moment i was informed about it,1,4.0,0.8245622421568997
1535,i dun feel happy,1,3.0,0.87402705498121
15475,RT @steviegarcia11: Here come wiggas soft tweets.. &#128514;,2,3.0,0.6666666666666666
10731,ive had a somewhat difficult time trying to find something to feel thankful for,1,2.0,1.0
12965,i am feeling the positive impact of the new meditative tools pam is giving me as well more strongly and clearly,1,3.0,0.9025877659419184
1277,"Don't mind that Twinkies are gonna be gone, very concerned about the rest of hostesses product line",2,3.0,1.0
14120,i just feel distressed i dont know why though but i do,4,3.0,0.7045223354211115
